,Location,Post_Office,Postcode,State
43708,Puteri Harbour,Iskandar Puteri,79000,Johor
43709,Pusat Pentadbiran Kerajaan Negeri Johor,Iskandar Puteri,79000,Johor
43710,Estuari Garden,Iskandar Puteri,79000,Johor
43711,Lebuh Kota Iskandar,Iskandar Puteri,79050,Johor
43712,Horizon Hills,Iskandar Puteri,79100,Johor
43713,Taman Bukit Indah,Iskandar Puteri,79100,Johor
43714,Taman Nusa Idaman,Iskandar Puteri,79100,Johor
43715,Taman Nusa Indah,Iskandar Puteri,79100,Johor
43716,Taman Nusa Indah Tropicana,Iskandar Puteri,79100,Johor
43717,Taman Nusa Bestari,Iskandar Puteri,79150,Johor
43718,Taman Nusa Bestari 2,Iskandar Puteri,79150,Johor
43719,Taman Nusa Bestari Jaya,Iskandar Puteri,79150,Johor
43720,Taman Nusa Jaya Mas,Iskandar Puteri,79150,Johor
43721,Taman Nusa Duta,Iskandar Puteri,79150,Johor
43722,Nusa Cemerlang,Iskandar Puteri,79200,Johor
43723,Perindustrian Nusa Jaya,Iskandar Puteri,79200,Johor
43724,Perumahan Kerajaan,Iskandar Puteri,79200,Johor
43725,Southern Industrial & Logistics Clusters,Iskandar Puteri,79200,Johor
43726,Taman Industri Nusaya 1,Iskandar Puteri,79200,Johor
43727,Taman Nusa Cemerlang Industrial Park,Iskandar Puteri,79200,Johor
43728,Taman Nusa Perdana,Iskandar Puteri,79200,Johor
43729,Taman Nusa Perintis,Iskandar Puteri,79200,Johor
43730,Taman Nusa Perintis 1,Iskandar Puteri,79200,Johor
43731,Taman Nusa Perintis 2,Iskandar Puteri,79200,Johor
43732,Taman Nusa Perintis 3,Iskandar Puteri,79200,Johor
43733,Taman Nusantara,Iskandar Puteri,79200,Johor
43734,Taman Teknologi Nusajaya,Iskandar Puteri,79200,Johor
43735,Taman Nusantara Prima,Iskandar Puteri,79200,Johor
43736,Kota Ilmu Educity@Iskandar,Iskandar Puteri,79200,Johor
43737,Rumah Iskandar Malaysia,Iskandar Puteri,79200,Johor
43738,Multimedia Universiti (MMU),Iskandar Puteri,79200,Johor
43739,Centre Ledang Heights,Iskandar Puteri,79250,Johor
43740,East Ledang,Iskandar Puteri,79250,Johor
43741,Kompleks Kastam (CIQ),Iskandar Puteri,79250,Johor
43742,Ledang Heights,Iskandar Puteri,79250,Johor
43743,Ledang Heights 1,Iskandar Puteri,79250,Johor
43744,Ledang Heights 2,Iskandar Puteri,79250,Johor
43745,Persiaran Medini Sentral 1,Iskandar Puteri,79250,Johor
43746,Jalan Medini Utara 8,Iskandar Puteri,79250,Johor
43747,Bandar Medini Iskandar Malaysia,Iskandar Puteri,79250,Johor
43748,Suruhanjaya Perkhidmatan Awam,Iskandar Puteri,79520,Johor
43749,Jabatan Tenaga Rakyat,Iskandar Puteri,79540,Johor
43750,Jabatan Imigresen,Iskandar Puteri,79550,Johor
43751,Jabatan Belia Dan Sukan,Iskandar Puteri,79570,Johor
43752,Jabatan Haiwan,Iskandar Puteri,79630,Johor
43753,Jabatan Perhutanan,Iskandar Puteri,79660,Johor
43754,Pejabat Majlis Mesyuarat Kerajaan Dan Dewan Negeri Johor,Iskandar Puteri,79680,Johor
43755,Jalan Abdullah Ibrahim,Johor Bahru,80000,Johor
43756,Jalan Ayer Molek,Johor Bahru,80000,Johor
43757,Jalan Bukit Timbalan,Johor Bahru,80000,Johor
43758,Jalan Bukit Zaharah,Johor Bahru,80000,Johor
43759,Jalan Dato Dalam,Johor Bahru,80000,Johor
43760,Jalan Dato Onn,Johor Bahru,80000,Johor
43761,Jalan Dhoby,Johor Bahru,80000,Johor
43762,Jalan Duke,Johor Bahru,80000,Johor
43763,Jalan Engku Endut,Johor Bahru,80000,Johor
43764,Jalan Gertak Merah,Johor Bahru,80000,Johor
43765,Jalan Ibrahim,Johor Bahru,80000,Johor
43766,Jalan Khalid Abdullah,Johor Bahru,80000,Johor
43767,Jalan Lee Thye Heng,Johor Bahru,80000,Johor
43768,Jalan Meldrum,Johor Bahru,80000,Johor
43769,Jalan Mohd Noor,Johor Bahru,80000,Johor
43770,Jalan Ngee Heng,Johor Bahru,80000,Johor
43771,Jalan Pahang,Johor Bahru,80000,Johor
43772,Jalan Pasar,Johor Bahru,80000,Johor
43773,Jalan Salim,Johor Bahru,80000,Johor
43774,Jalan Sawmill,Johor Bahru,80000,Johor
43775,Jalan Segget,Johor Bahru,80000,Johor
43776,Jalan Selat Tebrau,Johor Bahru,80000,Johor
43777,Jalan Sieu Koon,Johor Bahru,80000,Johor
43778,Jalan Siew Chin,Johor Bahru,80000,Johor
43779,Jalan Siu Nam,Johor Bahru,80000,Johor
43780,Jalan Station,Johor Bahru,80000,Johor
43781,Jalan Sulaiman,Johor Bahru,80000,Johor
43782,Jalan Syed Mohamad Mufti,Johor Bahru,80000,Johor
43783,Jalan Tan Hock Nee,Johor Bahru,80000,Johor
43784,Jalan Tangga Duke,Johor Bahru,80000,Johor
43785,Jalan Trus,Johor Bahru,80000,Johor
43786,Jalan Tun Abdul Razak,Johor Bahru,80000,Johor
43787,Jalan Tun Sri Lanang,Johor Bahru,80000,Johor
43788,Jalan Ungku Puan,Johor Bahru,80000,Johor
43789,Jalan Wong Ah Fook,Johor Bahru,80000,Johor
43790,Kampung Air Molek,Johor Bahru,80000,Johor
