,Location,Post_Office,Postcode,State
54612,Jalan Badruddin,Kuching,93000,Sarawak
54613,Jalan Barrack,Kuching,93000,Sarawak
54614,Jalan Court House,Kuching,93000,Sarawak
54615,Jalan Crookshank,Kuching,93000,Sarawak
54616,Jalan Gambier,Kuching,93000,Sarawak
54617,Jalan Golflink,Kuching,93000,Sarawak
54618,Jalan Hokkien,Kuching,93000,Sarawak
54619,Jalan Hospital Timur,Kuching,93000,Sarawak
54620,Jalan Main Bazaar,Kuching,93000,Sarawak
54621,Jalan Maxwell,Kuching,93000,Sarawak
54622,Jalan Mcdougall,Kuching,93000,Sarawak
54623,Jalan Mosque,Kuching,93000,Sarawak
54624,Jalan Ong Kwan Hin,Kuching,93000,Sarawak
54625,Jalan Reservoir,Kuching,93000,Sarawak
54626,Jalan Rodway,Kuching,93000,Sarawak
54627,Jalan Tun Abang Haji Openg,Kuching,93000,Sarawak
54628,Jalan Wayang,Kuching,93000,Sarawak
54629,Jalan Were,Kuching,93000,Sarawak
54630,Ladang Ricketts,Kuching,93000,Sarawak
54631,Lebuh Bishopgate,Kuching,93000,Sarawak
54632,Lebuh Carpenter,Kuching,93000,Sarawak
54633,Lebuh China,Kuching,93000,Sarawak
54634,Lebuh Ewe Hai,Kuching,93000,Sarawak
54635,Lebuh Gartak,Kuching,93000,Sarawak
54636,Lebuh India,Kuching,93000,Sarawak
54637,Lebuh Java,Kuching,93000,Sarawak
54638,Lebuh Khoo Hun Yeang,Kuching,93000,Sarawak
54639,Lebuh Market,Kuching,93000,Sarawak
54640,Lebuh Power,Kuching,93000,Sarawak
54641,Lebuh Ulu China,Kuching,93000,Sarawak
54642,Lebuh Wayang 1,Kuching,93000,Sarawak
54643,Lebuh Wayang 2,Kuching,93000,Sarawak
54644,Lorong Ban Hock,Kuching,93000,Sarawak
54645,Lorong Carmelite,Kuching,93000,Sarawak
54646,Lorong Dock,Kuching,93000,Sarawak
54647,Lorong Gertak,Kuching,93000,Sarawak
54648,Lorong Kai Joo,Kuching,93000,Sarawak
54649,Lorong Masjid,Kuching,93000,Sarawak
54650,Lorong Mesjid India,Kuching,93000,Sarawak
54651,Pengkalan Jeti,Kuching,93000,Sarawak
54652,Persiaran Mill,Kuching,93000,Sarawak
54653,Taman Budaya,Kuching,93000,Sarawak
54654,Taman Oriental,Kuching,93000,Sarawak
54655,Taman Ricketts,Kuching,93000,Sarawak
54656,Bengoh,Kuching,93010,Sarawak
54657,Kampung Anah Rais,Kuching,93010,Sarawak
54658,Kampung Bako,Kuching,93010,Sarawak
54659,Kampung Baru Samarahan,Kuching,93010,Sarawak
54660,Kampung Beliong,Kuching,93010,Sarawak
54661,Kampung Bengoh Padawan,Kuching,93010,Sarawak
54662,Kampung Bratok,Kuching,93010,Sarawak
54663,Kampung Bukit Panchor,Kuching,93010,Sarawak
54664,Kampung Buntal,Kuching,93010,Sarawak
54665,Kampung Bunuk,Kuching,93010,Sarawak
54666,Kampung Geobilt,Kuching,93010,Sarawak
54667,Kampung Karu,Kuching,93010,Sarawak
54668,Kampung Lintang Baru,Kuching,93010,Sarawak
54669,Kampung Mambong,Kuching,93010,Sarawak
54670,Kampung Muhibah (Seberang Pending),Kuching,93010,Sarawak
54671,Kampung Pasir Pandak,Kuching,93010,Sarawak
54672,Kampung Paya Mebi,Kuching,93010,Sarawak
54673,Kampung Rambungan,Kuching,93010,Sarawak
54674,Kampung Salak,Kuching,93010,Sarawak
54675,Kampung Sejingat,Kuching,93010,Sarawak
54676,Kampung Semadang,Kuching,93010,Sarawak
54677,Kampung Semedang,Kuching,93010,Sarawak
54678,Kampung Semedang,Kuching,93010,Sarawak
54679,Kampung Semilang,Kuching,93010,Sarawak
54680,Kampung Simpok,Kuching,93010,Sarawak
54681,Kampung Stoh,Kuching,93010,Sarawak
54682,Kampung Tapah,Kuching,93010,Sarawak
54683,Kampung Terambol,Kuching,93010,Sarawak
54684,Kolong Lapan,Kuching,93010,Sarawak
54685,Muara Tebas,Kuching,93010,Sarawak
