,Location,Post_Office,Postcode,State
37843,Presint 12,Putrajaya,62000,WP_Putrajaya
37844,Jalan Perdana Timur A/1,Putrajaya,62000,WP_Putrajaya
37845,Jalan Alamanda,Putrajaya,62000,WP_Putrajaya
37846,Presint 1,Putrajaya,62000,WP_Putrajaya
37847,Jalan Eugenia P12,Putrajaya,62000,WP_Putrajaya
37848,Jalan Cassia P12/1,Putrajaya,62000,WP_Putrajaya
37849,Jalan Cassia P12/2,Putrajaya,62000,WP_Putrajaya
37850,Jalan Cassia P12/3,Putrajaya,62000,WP_Putrajaya
37851,Jalan Cassia P12/4,Putrajaya,62000,WP_Putrajaya
37852,Jalan Cassia P12/5,Putrajaya,62000,WP_Putrajaya
37853,Jalan Cassia P12/6,Putrajaya,62000,WP_Putrajaya
37854,Jalan Cassia P12/7,Putrajaya,62000,WP_Putrajaya
37855,Jalan Cassia P12/8,Putrajaya,62000,WP_Putrajaya
37856,Jalan Cassia P12/9,Putrajaya,62000,WP_Putrajaya
37857,Jalan Murraya P12/1,Putrajaya,62000,WP_Putrajaya
37858,Jalan Murraya P12/2,Putrajaya,62000,WP_Putrajaya
37859,Jalan Murraya P12/3,Putrajaya,62000,WP_Putrajaya
37860,Jalan Murraya P12/4,Putrajaya,62000,WP_Putrajaya
37861,Jalan Murraya P12/5,Putrajaya,62000,WP_Putrajaya
37862,Jalan Murraya P12/6,Putrajaya,62000,WP_Putrajaya
37863,Jalan Murraya P12/7,Putrajaya,62000,WP_Putrajaya
37864,Jalan Murraya P12/8,Putrajaya,62000,WP_Putrajaya
37865,Jalan Murraya P12/9,Putrajaya,62000,WP_Putrajaya
37866,Jalan Gynura P12/1,Putrajaya,62000,WP_Putrajaya
37867,Jalan Gynura P12/2,Putrajaya,62000,WP_Putrajaya
37868,Jalan Gynura P12/3,Putrajaya,62000,WP_Putrajaya
37869,Jalan Gynura P12/4,Putrajaya,62000,WP_Putrajaya
37870,Jalan Gynura P12/5,Putrajaya,62000,WP_Putrajaya
37871,Jalan Gynura P12/6,Putrajaya,62000,WP_Putrajaya
37872,Jalan Gynura P12/7,Putrajaya,62000,WP_Putrajaya
37873,Jalan Gynura P12/8,Putrajaya,62000,WP_Putrajaya
37874,Jalan Senna P12,Putrajaya,62000,WP_Putrajaya
37875,Jalan Areca P12,Putrajaya,62000,WP_Putrajaya
37876,Jalan Alamanda 1,Putrajaya,62000,WP_Putrajaya
37877,Jalan Alamanda 2,Putrajaya,62000,WP_Putrajaya
37878,Jalan Taman Putra Perdana,Putrajaya,62000,WP_Putrajaya
37879,Jalan Taman Putra Perdana/1,Putrajaya,62000,WP_Putrajaya
37880,Jalan Taman Putra Perdana/2,Putrajaya,62000,WP_Putrajaya
37881,Jalan Taman Putra Perdana/3,Putrajaya,62000,WP_Putrajaya
37882,Jalan Taman Putra Perdana/4,Putrajaya,62000,WP_Putrajaya
37883,Laluan Dataran Pahlawan P1,Putrajaya,62000,WP_Putrajaya
37884,Laluan Laman Putra P1/1,Putrajaya,62000,WP_Putrajaya
37885,Laluan Laman Putra P1/2,Putrajaya,62000,WP_Putrajaya
37886,Laluan Laman Putra P1/3,Putrajaya,62000,WP_Putrajaya
37887,Badan Pencegah Rasuah,Putrajaya,62007,WP_Putrajaya
37888,Presint 14,Putrajaya,62050,WP_Putrajaya
37889,Presint 15,Putrajaya,62050,WP_Putrajaya
37890,Jalan Gelam P15/3 (Jalan P15A/2),Putrajaya,62050,WP_Putrajaya
37891,Jalan Gelam P15/4 (Jalan P15A/3),Putrajaya,62050,WP_Putrajaya
37892,Jalan Mempaga P15/1 (Jalan P15B),Putrajaya,62050,WP_Putrajaya
37893,Jalan Jati P14B 1/3 (Jalan P14B 1/3),Putrajaya,62050,WP_Putrajaya
37894,Jalan Jati P14B 1/4 (Jalan P14B 1/4),Putrajaya,62050,WP_Putrajaya
37895,Jalan Jati P14B 1/5 (Jalan P14B 1/5),Putrajaya,62050,WP_Putrajaya
37896,Jalan Jati P14B 1/6 (Jalan P14B 1/6),Putrajaya,62050,WP_Putrajaya
37897,Jalan Jati P14B 1/7 (Jalan P14B 1/7),Putrajaya,62050,WP_Putrajaya
37898,Jalan Mempaga P15/2 (Jalan P15B/1),Putrajaya,62050,WP_Putrajaya
37899,Jalan Mempaga P15/3 (Jalan P15B/2),Putrajaya,62050,WP_Putrajaya
37900,Jalan Mempaga P15/4 (Jalan P15B/3),Putrajaya,62050,WP_Putrajaya
37901,Jalan Tembusu P15/4 (Jalan P15C/3),Putrajaya,62050,WP_Putrajaya
37902,Bahagian Pilihanraya Parlimen P125 Putrajaya,Putrajaya,62050,WP_Putrajaya
37903,Jalan Jati P14B 1/1 (Jalan P14B 1/1),Putrajaya,62050,WP_Putrajaya
37904,Jalan Jati P14B 2/2 (Jalan P14B 2/2),Putrajaya,62050,WP_Putrajaya
37905,Jalan Cendana P14A (Jalan P14A),Putrajaya,62050,WP_Putrajaya
37906,Jalan Cendana P14A 1 (Jalan P14A 1),Putrajaya,62050,WP_Putrajaya
37907,Jalan Cendana P14A 1/1 (Jalan P14A 1/1),Putrajaya,62050,WP_Putrajaya
37908,Jalan Cendana P14A 1/2 (Jalan P14A 1/2),Putrajaya,62050,WP_Putrajaya
37909,Jalan Cendana P14A 1/3 (Jalan P14A 1/3),Putrajaya,62050,WP_Putrajaya
37910,Jalan Cengal P14 (Jalan P14),Putrajaya,62050,WP_Putrajaya
37911,Jalan Rimba Alam P14 (Jalan P14),Putrajaya,62050,WP_Putrajaya
37912,Jalan Cendana P14A 1/5,Putrajaya,62050,WP_Putrajaya
37913,Jalan Cendana P14A 1/6,Putrajaya,62050,WP_Putrajaya
37914,Jalan Cendana P14A 1/7,Putrajaya,62050,WP_Putrajaya
37915,Jalan Cendana P14A 1/8,Putrajaya,62050,WP_Putrajaya
37916,Jalan Cendana P14A 1/9,Putrajaya,62050,WP_Putrajaya
37917,Jalan Cendana P14A 1/10,Putrajaya,62050,WP_Putrajaya
37918,Jalan Cendana P14A 1/11,Putrajaya,62050,WP_Putrajaya
37919,Jalan Cendana P14A 1/12,Putrajaya,62050,WP_Putrajaya
37920,Jalan Cendana P14A 1/13,Putrajaya,62050,WP_Putrajaya
37921,Jalan Cendana P14A 1/14,Putrajaya,62050,WP_Putrajaya
37922,Jalan Jati P14B (Jalan P14B),Putrajaya,62050,WP_Putrajaya
37923,Jalan Jati P14B 1 (Jalan P14B 1),Putrajaya,62050,WP_Putrajaya
37924,Jalan Jati P14B 2/3 (Jalan P14B 2/3),Putrajaya,62050,WP_Putrajaya
37925,Jalan Jati P14B 2/4 (Jalan P14B 2/4),Putrajaya,62050,WP_Putrajaya
37926,Jalan Jati P14B 2/5 (Jalan P14B 2/5),Putrajaya,62050,WP_Putrajaya
37927,Jalan Jati P14B 2/6 (Jalan P14B 2/6),Putrajaya,62050,WP_Putrajaya
37928,Jalan Jati P14B 4 (Jalan P14B 4),Putrajaya,62050,WP_Putrajaya
37929,Jalan Tempinis P14C (Jalan P14C),Putrajaya,62050,WP_Putrajaya
37930,Jalan Tempinis P14C 1 (Jalan P14C 1),Putrajaya,62050,WP_Putrajaya
37931,Jalan Tempinis P14C 1/1 (Jalan P14C 1/1),Putrajaya,62050,WP_Putrajaya
37932,Jalan Tempinis P14C 1/2 (Jalan P14C 1/2),Putrajaya,62050,WP_Putrajaya
37933,Jalan Tempinis P14C 1/3 (Jalan P14C 1/3),Putrajaya,62050,WP_Putrajaya
37934,Jalan Tempinis P14C 1/4 (Jalan P14C 1/4),Putrajaya,62050,WP_Putrajaya
37935,Jalan Tempinis P14C 1/5 (Jalan P14C 1/5),Putrajaya,62050,WP_Putrajaya
37936,Jalan Tempinis P14C 1/6 (Jalan P14C 1/6),Putrajaya,62050,WP_Putrajaya
37937,Jalan Tempinis P14C 2 (Jalan P14C 2),Putrajaya,62050,WP_Putrajaya
37938,Jalan Tempinis P14C 2/1 (Jalan P14C 2/1),Putrajaya,62050,WP_Putrajaya
37939,Jalan Tempinis P14C 2/2 (Jalan P14C 2/2),Putrajaya,62050,WP_Putrajaya
37940,Jalan Tempinis P14C 2/3 (Jalan P14C 2/3),Putrajaya,62050,WP_Putrajaya
37941,Jalan Tempinis P14C 2/4 (Jalan P14C 2/4),Putrajaya,62050,WP_Putrajaya
37942,Jalan Tempinis P14C 2/5 (Jalan P14C 2/5),Putrajaya,62050,WP_Putrajaya
37943,Jalan Tempinis P14C 2/6 (Jalan P14C 2/6),Putrajaya,62050,WP_Putrajaya
37944,Jalan Tempinis P14C 2/7 (Jalan P14C 2/7),Putrajaya,62050,WP_Putrajaya
37945,Jalan Merbau P14D (Jalan P14D),Putrajaya,62050,WP_Putrajaya
37946,Jalan Merbau P14D 1 (Jalan P14D 1),Putrajaya,62050,WP_Putrajaya
37947,Jalan Merbau P14D/1 (Jalan P14D/1),Putrajaya,62050,WP_Putrajaya
37948,Jalan Merbau P14D/2 (Jalan P14D/2),Putrajaya,62050,WP_Putrajaya
37949,Jalan Merbau P14D 2 (Jalan P14D 2),Putrajaya,62050,WP_Putrajaya
37950,Jalan Merbau P14D 2/1 (Jalan P14D 2/1),Putrajaya,62050,WP_Putrajaya
37951,Jalan Merbau P14D 2/2 (Jalan P14D 2/2),Putrajaya,62050,WP_Putrajaya
37952,Jalan Surian P14E (Jalan P14E),Putrajaya,62050,WP_Putrajaya
37953,Jalan Surian P14E 1 (Jalan P14E 1),Putrajaya,62050,WP_Putrajaya
37954,Jalan Surian P14E 1/1 (Jalan P14E 1/1),Putrajaya,62050,WP_Putrajaya
37955,Jalan Surian P14E 1/2 (Jalan P14E 1/2),Putrajaya,62050,WP_Putrajaya
37956,Jalan Surian P14E 2 (Jalan P14E 2),Putrajaya,62050,WP_Putrajaya
37957,Jalan Surian P14E 2/1 (Jalan P14E 2/1),Putrajaya,62050,WP_Putrajaya
37958,Jalan Keruing P14F (Jalan P14F),Putrajaya,62050,WP_Putrajaya
37959,Jalan Keruing P14F/1 (Jalan P14F/1),Putrajaya,62050,WP_Putrajaya
37960,Jalan Keruing P14F/2 (Jalan P14F/2),Putrajaya,62050,WP_Putrajaya
37961,Jalan Keruing P14F/3 (Jalan P14F/3),Putrajaya,62050,WP_Putrajaya
37962,Jalan Keruing P14F/4 (Jalan P14F/4),Putrajaya,62050,WP_Putrajaya
37963,Jalan Keruing P14F/5 (Jalan P14F/5),Putrajaya,62050,WP_Putrajaya
37964,Jalan Keruing P14F/6 (Jalan P14F/6),Putrajaya,62050,WP_Putrajaya
37965,Jalan Keruing P14F/7 (Jalan P14F/7),Putrajaya,62050,WP_Putrajaya
37966,Jalan Meranti P14G (Jalan P14G),Putrajaya,62050,WP_Putrajaya
37967,Jalan Meranti P14G/1 (Jalan P14G/1),Putrajaya,62050,WP_Putrajaya
37968,Jalan Meranti P14G/2 (Jalan P14G/2),Putrajaya,62050,WP_Putrajaya
37969,Jalan Meranti P14H (Jalan P14H),Putrajaya,62050,WP_Putrajaya
37970,Jalan Bertam P14J (Jalan P14J),Putrajaya,62050,WP_Putrajaya
37971,Jalan Bertam P14J/1 (Jalan P14J/1),Putrajaya,62050,WP_Putrajaya
37972,Jalan Jati P14L (Jalan P14L),Putrajaya,62050,WP_Putrajaya
37973,Jalan Industri Putra 1,Putrajaya,62050,WP_Putrajaya
37974,Jalan Gelam P15/1 (Jalan P15A),Putrajaya,62050,WP_Putrajaya
37975,Jalan Gelam P15/2 (Jalan P15A/1),Putrajaya,62050,WP_Putrajaya
37976,Jalan Merawan P15 (Jalan P15),Putrajaya,62050,WP_Putrajaya
37977,Jalan Tembusu P15/1 (Jalan P15C),Putrajaya,62050,WP_Putrajaya
37978,Jalan Tembusu P15/2 (Jalan P15C/1),Putrajaya,62050,WP_Putrajaya
37979,Jalan Tembusu P15/3 (Jalan P15C/2),Putrajaya,62050,WP_Putrajaya
37980,Jalan Ara P15/1 (Jalan P15D),Putrajaya,62050,WP_Putrajaya
37981,Jalan Ara P15/2 (Jalan P15D/1),Putrajaya,62050,WP_Putrajaya
37982,Jalan Ara P15/3 (Jalan P15D/2),Putrajaya,62050,WP_Putrajaya
37983,Jalan Ara P15/4 (Jalan P15D/3),Putrajaya,62050,WP_Putrajaya
37984,Jalan Ara P15/5 (Jalan P15D/4),Putrajaya,62050,WP_Putrajaya
37985,Jalan Ara P15/6 (Jalan P15D/5),Putrajaya,62050,WP_Putrajaya
37986,Jalan Ara P15/7 (Jalan P15D/6),Putrajaya,62050,WP_Putrajaya
37987,Jalan Ara P15/8 (Jalan P15D/7),Putrajaya,62050,WP_Putrajaya
37988,Jalan Jati P14B 2 (Jalan P14B 2),Putrajaya,62050,WP_Putrajaya
37989,Jalan Jati P14B 2/1 (Jalan P14B 2/1),Putrajaya,62050,WP_Putrajaya
37990,Jalan Terap P15/1 (Jalan P15E),Putrajaya,62050,WP_Putrajaya
37991,Jalan Terap P15/2 (Jalan P15E 1),Putrajaya,62050,WP_Putrajaya
37992,Jalan Terap P15/3 (Jalan P15E 2),Putrajaya,62050,WP_Putrajaya
37993,Jalan Terap P15/4 (Jalan P15E 2/1),Putrajaya,62050,WP_Putrajaya
37994,Jalan Karas P15/1 (Jalan P15F),Putrajaya,62050,WP_Putrajaya
37995,Jalan Karas P15/2 (Jalan P15F/1),Putrajaya,62050,WP_Putrajaya
37996,Jalan Karas P15/3 (Jalan P15F/2),Putrajaya,62050,WP_Putrajaya
37997,Jalan Karas P15/4 (Jalan P15F/3),Putrajaya,62050,WP_Putrajaya
37998,Jalan Karas P15/5 (Jalan P15F/4),Putrajaya,62050,WP_Putrajaya
37999,Jalan Karas P15/6 (Jalan P15F/5),Putrajaya,62050,WP_Putrajaya
38000,Jalan Karas P15/7 (Jalan P15F/6),Putrajaya,62050,WP_Putrajaya
38001,Jalan Melunak P15/1 (Jalan P15G),Putrajaya,62050,WP_Putrajaya
38002,Jalan Melunak P15/2 (Jalan P15G/1),Putrajaya,62050,WP_Putrajaya
38003,Jalan Melunak P15/3 (Jalan P15G/2),Putrajaya,62050,WP_Putrajaya
38004,Jalan Resak P15H 1 (Jalan P15H 1),Putrajaya,62050,WP_Putrajaya
38005,Jalan Resak P15H 1/1 (Jalan P15H 1/1),Putrajaya,62050,WP_Putrajaya
38006,Jalan Resak P15H 1/2 (Jalan P15H 1/2),Putrajaya,62050,WP_Putrajaya
38007,Jalan Resak P15H 1/3 (Jalan P15H 1/3),Putrajaya,62050,WP_Putrajaya
38008,Jalan Resak P15H 1/4 (Jalan P15H 1/4),Putrajaya,62050,WP_Putrajaya
38009,Jalan Resak P15H 1/5 (Jalan P15H 1/5),Putrajaya,62050,WP_Putrajaya
38010,Jalan Pelawan P15H 2 (Jalan P15H 2),Putrajaya,62050,WP_Putrajaya
