,Location,Post_Office,Postcode,State
0,Kangar - Peti surat,Kangar,01007,Perlis
1,Kangar - Beg berkunci,Kangar,01009,Perlis
2,Alor Redeh,Kangar,01000,Perlis
3,Alor Tok Terang,Kangar,01000,Perlis
4,Bohor Gelam,Kangar,01000,Perlis
5,Jalan Abi Tok Hashim,Kangar,01000,Perlis
6,Jalan Alor Sena,Kangar,01000,Perlis
7,Jalan Arau,Kangar,01000,Perlis
8,Jalan Besar Kangar,Kangar,01000,Perlis
9,Jalan Bohor Guncar,Kangar,01000,Perlis
10,Jalan Bukit Meranti,Kangar,01000,Perlis
11,Jalan Home Guard,Kangar,01000,Perlis
12,Jalan Hospital,Kangar,01000,Perlis
13,Jalan Jubli Perak,Kangar,01000,Perlis
14,Jalan Kaki Bukit (Batu 4 1/2),Kangar,01000,Perlis
15,Jalan Kampung Wan Abdullah,Kangar,01000,Perlis
16,Jalan Kangar,Kangar,01000,Perlis
17,Jalan Kurung Batang,Kangar,01000,Perlis
18,Jalan Masjid Lama,Kangar,01000,Perlis
19,Jalan Medan Kangar,Kangar,01000,Perlis
20,Jalan Padang Bohor,Kangar,01000,Perlis
21,Jalan Panglima,Kangar,01000,Perlis
22,Jalan Pegawai,Kangar,01000,Perlis
23,Jalan Penjara,Kangar,01000,Perlis
24,Jalan Raja Muda,Kangar,01000,Perlis
25,Jalan Raja Syed Alwi,Kangar,01000,Perlis
26,Jalan Raja Syed Saffi,Kangar,01000,Perlis
27,Jalan Santan (Km 5),Kangar,01000,Perlis
28,Jalan Seruling,Kangar,01000,Perlis
29,Jalan Syed Omar,Kangar,01000,Perlis
30,Jalan Taman Bunga Padi,Kangar,01000,Perlis
31,Jalan Teluk Kacang,Kangar,01000,Perlis
32,Jalan Tok Kandang,Kangar,01000,Perlis
33,Jalan Tun Razak,Kangar,01000,Perlis
34,Jejawi,Kangar,01000,Perlis
35,Kampung Abi Batas Paip,Kangar,01000,Perlis
36,Kampung Abi Padang Machang,Kangar,01000,Perlis
37,Kampung Abi Pokok Asam,Kangar,01000,Perlis
38,Kampung Abi Tok Hashim,Kangar,01000,Perlis
39,Kampung Alor,Kangar,01000,Perlis
40,Kampung Alor Ara,Kangar,01000,Perlis
41,Kampung Alor Dalam,Kangar,01000,Perlis
42,Kampung Alor Kabong,Kangar,01000,Perlis
43,Kampung Alor Lanchang,Kangar,01000,Perlis
44,Kampung Alor Marus,Kangar,01000,Perlis
45,Kampung Alor Pulai,Kangar,01000,Perlis
46,Kampung Alor Redeh,Kangar,01000,Perlis
47,Kampung Alor Sena,Kangar,01000,Perlis
48,Kampung Aman,Kangar,01000,Perlis
49,Kampung Asam 6,Kangar,01000,Perlis
50,Kampung Aur,Kangar,01000,Perlis
51,Kampung Bakau,Kangar,01000,Perlis
52,Kampung Bakong (Jejawi),Kangar,01000,Perlis
53,Kampung Baroh,Kangar,01000,Perlis
54,Kampung Baru,Kangar,01000,Perlis
55,Kampung Baru Santan,Kangar,01000,Perlis
56,Kampung Batu 3.5 (Jalan Kaki Bukit),Kangar,01000,Perlis
57,Kampung Batu Pahat,Kangar,01000,Perlis
58,Kampung Behor Cicar,Kangar,01000,Perlis
59,Kampung Temak,Kangar,01000,Perlis
60,Kampung Tengah Abi,Kangar,01000,Perlis
61,Kampung Titi Teras,Kangar,01000,Perlis
62,Kampung Titi Tok Bandar,Kangar,01000,Perlis
63,Kampung Tok Dewa,Kangar,01000,Perlis
64,Kampung Tok Gong,Kangar,01000,Perlis
65,Kampung Tok Jawa,Kangar,01000,Perlis
66,Kampung Tok Jepun,Kangar,01000,Perlis
67,Kampung Tok Kandang,Kangar,01000,Perlis
68,Kampung Tok Kembong,Kangar,01000,Perlis
69,Kampung Tok Larak,Kangar,01000,Perlis
70,Kampung Tok Peduka,Kangar,01000,Perlis
71,Kampung Tok Pong,Kangar,01000,Perlis
72,Kampung Tok Sumbing,Kangar,01000,Perlis
73,Kampung Ujung Bukit,Kangar,01000,Perlis
74,Kampung Utan Aji,Kangar,01000,Perlis
75,Kampung Utan Temak,Kangar,01000,Perlis
76,Kampung Wang Belimbing,Kangar,01000,Perlis
77,Kampung Wang Besar,Kangar,01000,Perlis
78,Kampung Wang Ulu,Kangar,01000,Perlis
79,Kangar,Kangar,01000,Perlis
80,Kubang Arang,Kangar,01000,Perlis
81,Lorong Haji Seman,Kangar,01000,Perlis
82,Lorong Kampung Sena,Kangar,01000,Perlis
83,Lorong Nisam,Kangar,01000,Perlis
84,Lorong Sekolah,Kangar,01000,Perlis
85,Lukuk Gajah,Kangar,01000,Perlis
86,Mengkuang Layar,Kangar,01000,Perlis
87,Padang Bohor,Kangar,01000,Perlis
88,Pengkalan Asam,Kangar,01000,Perlis
89,Perumahan Awam Bohor Lateh,Kangar,01000,Perlis
90,Perumahan Awam Santan,Kangar,01000,Perlis
91,Repoh,Kangar,01000,Perlis
92,Sena Rendang,Kangar,01000,Perlis
93,Taman Abu Bakar Munir,Kangar,01000,Perlis
94,Taman Aman,Kangar,01000,Perlis
95,Taman Bakau Emas,Kangar,01000,Perlis
96,Taman Behor Indah,Kangar,01000,Perlis
97,Taman Bintong Maju,Kangar,01000,Perlis
98,Taman Bintong Setia,Kangar,01000,Perlis
99,Taman Bintong Utama,Kangar,01000,Perlis
100,Taman Bukit Kaya,Kangar,01000,Perlis
101,Taman Bukit Kayangan,Kangar,01000,Perlis
102,Taman Bumita,Kangar,01000,Perlis
103,Taman Bunga Kemboja RPA,Kangar,01000,Perlis
104,Taman Bunga Raya,Kangar,01000,Perlis
105,Taman Cahaya,Kangar,01000,Perlis
106,Taman Cergas,Kangar,01000,Perlis
107,Taman Ceria,Kangar,01000,Perlis
108,Taman Choo Kee,Kangar,01000,Perlis
109,Taman Datuk Jaafar Hassan,Kangar,01000,Perlis
110,Taman Datuk Setia,Kangar,01000,Perlis
111,Taman Datuk Wan Ahmad,Kangar,01000,Perlis
