,0,1,2,3
0,Bandar Pusat Jengka," No. 1, Jalan Besar, 26400 Bandar Pusat Jengka",09-466 2206,Pn. Shahila Binti Abdul Rahim
1,Bandar Tun Razak," M 23 - 10, Pusat Bandar, 26900 Bandar Tun Razak",09-445 7677,AHMAD REDZUAN MAMAT
2,Benta," JKR 649, Jalan Besar, 27300 Benta",09-323 8229,Pn. Ruhani Binti Abdul Rahim
3,Bentong," 148, Jalan Loke Yew, 28700 Bentong",09-222 1060,Pn. Nor Azah Binti Noor Saidon
4,Bera," 14, LORONG KERAYONG 3, SIMPANG KERAYONG, 28200 BERA PAHANG",09-250 5428,Cik Noriaini Binti Mansor
5,Beserah," JKR 1400, Jalan Pantai, 26100 Beserah",09-544 7991,En. Yusof Bin Abu Bakar
6,Bukit Fraser," JKR 49, Bukit Fraser, 49000 Bukit Fraser",09-362 2203,En. Muhammad Zaidi Bin Azizan
7,Bukit Goh," Felda Bukit Goh, 26050 Bukit Goh",09-547 8336,En. Mohd Hafizul Bin Mohd Nimudin
8,Chenor," No. 15, Bangunan LKNP, 28100 Chenor",09-299 5196,En. Aminurrashid Bin Mohd Rosalan
9,Chini," BANGUNAN PEJABAT POS, FELDA CHINI, 26690 CHINI PAHANG",09-456 6168,En. Rosmaini Bin Abdullah Sani
10,Damak," Pejabat Pos Damak, 27030 Damak",09-268 1423,MOHD MUNIR BIN AHMAD
11,Dong," JKR 842, Jalan Lipis, 27400 Dong",09-365 8209,SAADAH YUSOFF
12,Gambang," JKR 1359, Jalan Besar, 26300 Gambang",09-548 3218,Pn. Norizwa Binti Abu Bakar
13,Genting Highlands," Hotel Genting, 69000 Genting Highlands",03-61013232,MOHD EKHSAN ABU KASSIM
14,GPO Kuantan," JKR 1436, Jalan Abd. Aziz, 25670 Kuantan",09-517 9108   fax:09-514 7144,NOOR LIZAN BUSTAMAN
15,Jalan Air Putih," B 1377, Tingkat Bawah, Jalan Air Putih, 25300 Kuantan",09-566 1782,Pn. Raja Haslinda Binti Raja Abdul Jalil
16,Jalan Kuantan," F70, Jalan Kuantan, 28000 Temerloh",09-296 1087,Pn. Faridah Binti Sulaiman
17,Jaya Gading," B8 & B10, Lorong 12, Bandar Baru, 26070 Jaya Gading",09-538 4737,Pn. Sarimah Binti Muhammad Ibrahim
18,Jerantut," JKR 69, Jalan Besar, 27000 Jerantut",09-266 2201,ROSARINA ABDUL RAHIM
19,Karak," No. 1, Bangunan LKNP, Jalan Besar, 28600 Karak",09-231 1212,ARIMAWATI ARIFFIN
20,Kemayan," JKR 468, Jalan Besar, 28380 Kemayan",09-240 9344,MOHAMAD AFFANDI SAMSUDIN
21,Kg. Balok," No. A5 & A7, Lorong Balok 74, Bandar Baru Balok, 26100 Balok, Pahang.",09-583 4360,Pn. Hamizah Binti Hamzah
22,Kompleks Tun Razak," Tingkat Bawah, Bangunan Kerajaan, 25990 Bandar Indera Mahkota.",09-573 3663,Pn. Anis Izwani Binti Alias
23,Kuala Krau," JKR 470, Jalan Besar, 28050 Kuala Krau",09-286 1278,En. Mohd Khairul Anuar Bin Mat Amin
24,Kuala Lipis," JKR 81, Jalan Besar, 27000 Kuala Lipis",09-312 1166,En. Zulazlan Bin Hamidon
25,Kuala Pahang," Lot 428, Mukim Kuala Pahang, 26690 Kuala Pahang",09-425 1607,En. Hassanudin Bin Mohamad
26,Kuala Rompin," No. B-5, Bangunan Arked Mara, 26800 Kuala Rompin",09-414 5216,Pn. Zarina Irdawaty Binti Abdul Manan
27,Lanchang," JKR 105, Jalan Besar Lanchang, 28500 Lanchang",09-280 3243,Syed Anuar Bin Syed Othman
28,Lurah Bilut," JKR 970P, Jalan Besar, 28800 Lurah Bilut",09-237 7211,En. Mohd Rizwan Bin Ishak
29,Maran," JKR 895, Bandar Baru, 26500 Maran",09-477 1223,ROZANA MUDA
30,Mentakab," JKR 14, Jalan Besar, 28400 Mentakab",09-277 1006,En. Mohd Izman Bin Ismail
31,Muadzam Shah," JKR 420, Lorong Dara Kiri, 26700 Muadzam Shah",09-452 2262,Pn. Norahan Binti Ismail
32,Padang Tengku," Kompleks Teratai, Padang Tengku 27100, Padang Tengku Pahang.",09-329 1126,En. Muhammad Azuwan Bin Sahari
33,Pekan," JKR 343, Jalan Tengku Mahmud, 26600 Pekan",09-422 1027,Pn. Fauziah Binti Bolhassan
34,Pos Bergerak  Raub, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Raub boleh email kepada pc.powraub@pos.com.my atau uopphg@pos.com.my,,
35,Pos Bergerak Rompin, ,,
36,POSLAJU BENTONG," No T IP-2 & TBP-2, Pusat Perniagaan Ketari, Jalan Ketari, 28700 Bentong, Pahang",09-2228 236,Mohd Azizi Bin Azmi
37,POSLAJU KUANTAN," LOT 2/1831 JLN BUKIT UBI, 25200 KUANTAN PAHANG",09 - 5163354,Hamzam Bin Hassan
38,POSLAJU PEKAN," No. 2, Tingkat Bawah, Pusat Komersil Pekan, Jalan Sultan Abu Bakar, 26600 Pekan, Pahang.",09 - 4221 645,Noraida Bt Kamaludin @ Jamaludin
39,POSLAJU TEMERLOH," No. 19A & 19B, Batu 3, Jalan Mentakab, 28000 Temerloh, Pahang",09 - 296 5566,Rafidah Mohamad Nasir
40,Raub," 197A & B, Jalan Lipis, 27600 Raub",09-355 1011,Pn. Napisah Binti Mat Zain
41,Sega," JKR 1174, Kampung Sega, 27660 Sega",09-365 7329,Pn. Nurul Nadiah Binti Alias
42,Simpang Pelangai," PBD No. 1, Simpang Pelangai, 28700 Bentong",09-239 1982,AZALINI MD. TAIB
43,Sungai Koyan," Felda Sungai Koyan 1, 27650 Sungai Koyan",09-340 1011,Pn. Siti Norafzaniza Binti Che Din
44,Sungai Lembing," JKR  452, Jalan Besar, 26200 Sungei Lembing",09-541 1216,HAIRI BIN MANAP
45,Sungai Ruan," JKR 948, Jalan Besar, 27500 Sungai Ruan",09-368 6239,Pn. Nadzirah Binti Hamdan
46,Temerloh," JKR 104, Jalan Ahmad Shah, 28000 Temerloh",09-296 1201,ROSLAN CHE MUD
47,Triang," No. 9, Taman Desa Aman, 28300 Triang",09-255 4204,WAN ABDULLAH WAN JUSOH
48,UTC Pahang," No. 2 - 4, Bangunan UTC, Jalan Pasar Baru 3, 25000 Kuantan Pahang.",09-512 412509-512 4003fax:09-,SITI WAN MERIAM WAN JUSOH
